Vendor ID,Vendor name,Commercial Type,Category,Location,City,Service Name,Service Category,Service Subcategory
817,Pro+Fit,cos,gyms,Kandivali West,mumbai,Yog Siddhi Workout (Group Activity),Fitness Studios,Combine Training
5570,Invigorate Xercise Dance And Fitness Ghatla,paid,Fitness Studios,Chembur East,mumbai,5 Days Weight Loss Package at Whizkids Ghatla ,Fitness Studios,Combine Training
4602,Sweat 2B Fit,paid,Fitness Studios,Indiranagar,bangalore,Group Activities,Fitness Studios,Combine Training
3193,Apple Fitness,free,gyms,Jaya Nagar,bangalore,Group Activities,Fitness Studios,Combine Training
2873,Work It Out Studio,free,Fitness Studios,Wanowrie,pune,Les Mills Group Workout Membership,Fitness Studios,Combine Training
3975,The Workouts,freespecial,Fitness Studios,Koramangala,bangalore,Studio Membership,Fitness Studios,Combine Training
4159,Bounce Fitness Studio,paid,gyms,Kalyan Nagar,bangalore,Zumba + Yoga + Aerobics,Fitness Studios,Combine Training
4180,Group EX Fitness Revolution,freespecial,Fitness Studios,Jaya Nagar,bangalore,Studio Membership,Fitness Studios,Combine Training
5125,Aptitude Resolution for Fitness,paid,Fitness Studios,Pitampura,delhi,Studio Membership,Fitness Studios,Combine Training
5353,Fitworx Studio,paid,Fitness Studios,Greater Kailash 2,delhi,Studio Membership,Fitness Studios,Combine Training
4307,Cult Tribe Indiranagar,paid,Fitness Studios,Indiranagar,bangalore,Club Membership,Fitness Studios,Combine Training
5070,Max Fitness Studio,cos,Fitness Studios,Dwarka,delhi,Combine Training ,Fitness Studios,Combine Training
2083,Param Yoga,free,yoga,Aundh,pune,P Cube Level 1,Fitness Studios,Combine Training
4929,Metabolikx Fitness,paid,Fitness Studios,Janakpuri,delhi,Studio Membership,Fitness Studios,Combine Training
4929,Metabolikx Fitness,paid,Fitness Studios,Janakpuri,delhi,Les Mills Body Combat,Fitness Studios,Combine Training
4929,Metabolikx Fitness,paid,Fitness Studios,Janakpuri,delhi,Hi Lo / Step,Fitness Studios,Combine Training
5516,Workout Fitness Centre,free,gyms,Greater Kailash 2,delhi,Fitness Studio all,Fitness Studios,Combine Training
5521,Fitnutz – The Complete Health Centre,free,gyms,Rohini,delhi,Fitness Studio,Fitness Studios,Combine Training
5525,Alee Club,free,Fitness Studios,Rohini,delhi,Fitness Studio,Fitness Studios,Combine Training
5655,Unleash Fitness,paid,Fitness Studios,BTM Layout,bangalore,Personal Training,Fitness Studios,Combine Training
5655,Unleash Fitness,paid,Fitness Studios,BTM Layout,bangalore,Unleash Run ,Fitness Studios,Combine Training
5574,Karma Gym,free,gyms,Pitampura,delhi,Fitness Studio,Fitness Studios,Combine Training
5600,Beyond Looks Fitness Forever,free,gyms,Greater Kailash 1,delhi,Gym,Fitness Studios,Combine Training
5634,Goodways Fitness,cos,gyms,Geeta Colony,delhi,Scientific Workout without Machines For Women,Fitness Studios,Combine Training
5638,Body Mantra Gym,free,gyms,Karol Bagh,delhi,Gym,Fitness Studios,Combine Training
5916,One Dream Fitness,free,dance,Geeta Colony,delhi,Combine Training ,Fitness Studios,Combine Training
5843,Personality Craze,free,zumba,CR Park,delhi,Fitness Studio,Fitness Studios,Combine Training
5444,Her Fitness,paid,Fitness Studios,Paschim Vihar,delhi,Ultimate Fitness Class (All Group Activities),Fitness Studios,Combine Training
6168,GoodLife Fitness,freespecial,gyms,Kalyan Nagar,bangalore,Gym Membership All Inclusive Package,Fitness Studios,Combine Training
6082,Bliss Fitness and Dance Studio,paid,Fitness Studios,CBD Belapur,mumbai,Combine Workout (Ladies),Fitness Studios,Combine Training
2501,Bliss Fitness,cos,Fitness Studios,Kharghar,mumbai,Combine Workout,Fitness Studios,Combine Training
3977,Goodlife Fitness,freespecial,gyms,Indiranagar,bangalore,Group Activities,Fitness Studios,Combine Training
3977,Goodlife Fitness,freespecial,gyms,Indiranagar,bangalore,Gym + Group Activities,Fitness Studios,Combine Training
5655,Unleash Fitness,paid,Fitness Studios,BTM Layout,bangalore,Suresh Special,Fitness Studios,Combine Training
2845,Mickey Mehta 360° Wellness Temple,paid,Fitness Studios,Koregaon Park,pune,Yo Workout,Fitness Studios,Combine Training
3980,Vriddhi,free,Fitness Studios,Jaya Nagar,bangalore,Shuffle,Fitness Studios,Combine Training
4417,BECS Wellness and Fitness Center,paid,Fitness Studios,Kondhwa,pune,Ultimate Fitness Package,Fitness Studios,Combine Training
616,SDWM Shirishs Dancing and Fitness Studio,paid,Fitness Studios,Juhu,mumbai,Personal Training,Fitness Studios,Combine Training
4059,Fitness Time Frazer Town,paid,gyms,Frazer Town,bangalore,Gym + Group Activties,Fitness Studios,Combine Training
4059,Fitness Time Frazer Town,paid,gyms,Frazer Town,bangalore,Combo MMA + Gym,Fitness Studios,Combine Training
4059,Fitness Time Frazer Town,paid,gyms,Frazer Town,bangalore,Combo Gym + DMF,Fitness Studios,Combine Training
1828,P40X Fitness Studio,paid,cross functional training,FC Road,pune,Combinational Training (Cardio, Strength Training & Yoga programme),Fitness Studios,Combine Training
6491,Sn Fitness Studio,freespecial,Fitness Studios,Sushant Lok 1,gurgaon,Fitness Workouts,Fitness Studios,Combine Training
6496,Zink Fitness Studio,free,dance,Sushant Lok 1,gurgaon,Fitness Workouts,Fitness Studios,Combine Training
6505,Beyond Fitness,free,gyms,South City-1,gurgaon,Fitness Activities,Fitness Studios,Combine Training
1754,Khuman Dance Yoga Fitness Studio,paid,zumba,Mumbai Central,mumbai,Fitness Studio,Fitness Studios,Combine Training
6516,Lakshya Dance Unlimited,cos,dance,DLF Phase 1,gurgaon,Studio Membership,Fitness Studios,Combine Training
6523,ADC N Fitness Studio,free,Fitness Studios,Chembur East,mumbai,Combine Training,Fitness Studios,Combine Training
1334,Leena Mogre's Fitness - Mahim,free,gyms,Mahim,mumbai,Fitness,Fitness Studios,Combine Training
6622,Kapil's Total Fitness,free,Fitness Studios,Andheri West,mumbai,Combine Training,Fitness Studios,Combine Training
6638,Sri Sai Arts Academy,free,Fitness Studios,DLF Phase 3,gurgaon,Sri Sai Arts Academy,Fitness Studios,Combine Training
6679,Om Sai Dance and Fitness Studio,free,Fitness Studios,Shivaji Nagar,gurgaon,Om sai dance and fitness studio,Fitness Studios,Combine Training
6681,Fitness 365,paid,gyms,Kothrud,pune,Gym Membership (Gold),Fitness Studios,Combine Training
5655,Unleash Fitness,paid,Fitness Studios,BTM Layout,bangalore,Agility,Fitness Studios,Combine Training
5655,Unleash Fitness,paid,Fitness Studios,BTM Layout,bangalore,Unleash High (Strength Training),Fitness Studios,Combine Training
5655,Unleash Fitness,paid,Fitness Studios,BTM Layout,bangalore,ABS Blaster,Fitness Studios,Combine Training
1660,U K Fitness,free,yoga,Andheri East,mumbai,Combine Training,Fitness Studios,Combine Training
1709,Krunal Desai,free,personal trainers,Andheri East,mumbai,Combine Training,Fitness Studios,Combine Training
722,Well n Trim,cos,Fitness Studios,Andheri West,mumbai,Combine Training,Fitness Studios,Combine Training
6727,S N Fitness Studio,free,yoga,Sushant Lok 1,gurgaon,Fitness Studio,Fitness Studios,Combine Training
6730,Ista Wellness and Fitness,freespecial,Fitness Studios,Palam Vihar,gurgaon,Gym Workout,Fitness Studios,Combine Training
6707,99 Rhythm and Fitness Studio,cos,Fitness Studios,Goregaon West,mumbai,Combine Training ,Fitness Studios,Combine Training
252,Puja's Yoga Classes,free,Fitness Studios,Dahisar,mumbai,Combine Training,Fitness Studios,Combine Training
2291,Soul Fitness Solution,free,Fitness Studios,Dadar,mumbai,Combine Training at Dadar,Fitness Studios,Combine Training
6044,Studio 5 Aerobic Center,paid,Fitness Studios,Vashi,mumbai,1 Month Weight Loss Program - 3kg,Fitness Studios,Combine Training
6044,Studio 5 Aerobic Center,paid,Fitness Studios,Vashi,mumbai,3 Month Weight Loss Program - 6kg,Fitness Studios,Combine Training
6044,Studio 5 Aerobic Center,paid,Fitness Studios,Vashi,mumbai,6 Month Weight Loss Program - 9kg,Fitness Studios,Combine Training
6044,Studio 5 Aerobic Center,paid,Fitness Studios,Vashi,mumbai,1 Year Weight Loss Program - 12kg,Fitness Studios,Combine Training
6820,Prince FitOrbit,paid,Fitness Studios,Seawoods,mumbai,Adults Fitness,Fitness Studios,Combine Training
2223,Health Mantra Fitness,paid,gyms,Pimpri Chinchwad,pune,Aerobics + Zumba + Yoga,Fitness Studios,Combine Training
6852,Spectrum Activity Hub,free,Fitness Studios,Rajeev Nagar,gurgaon,Fitness Studio,Fitness Studios,Combine Training
6419,Downtown Studio,cos,Fitness Studios,Goregaon West,mumbai,Full Package,Fitness Studios,Combine Training
2232,Slimwell Health Club And Manufacturers,free,Fitness Studios,Mahim,mumbai,Combine Training,Fitness Studios,Combine Training
1711,Fitness Pitch Studio,paid,Fitness Studios,Ghatkopar East,mumbai,Signature Workouts,Fitness Studios,Combine Training
2869,Functional Fitness Group,freespecial,Fitness Studios,Magarpatta,pune,Combine Training ( Gymnastics, Parkour, Calesthenics) at Magarpatta,Fitness Studios,Combine Training
6875,Soul Fitness Solution,free,Fitness Studios,Matunga East,mumbai,Combine Training,Fitness Studios,Combine Training
894,Neenu Khanna,free,yoga,Powai,mumbai,Combine Training ,Fitness Studios,Combine Training
6874,Studio Blocks,freespecial,Fitness Studios,Juhu,mumbai,Studio Membership,Fitness Studios,Combine Training
920,Studio Rhythm Dance Class,free,Fitness Studios,Chembur East,mumbai,Combine Training,Fitness Studios,Combine Training
6901,Socio Fitness,paid,Fitness Studios,Bannerghatta Road,bangalore,Studio Membership,Fitness Studios,Combine Training
6422,Healthy Active Lifestyle Center,paid,Fitness Studios,Malad West,mumbai,Studio Memebership,Fitness Studios,Combine Training
1677,The Soul Studio,paid,Fitness Studios,Lokhandwala,mumbai,Studio Membership,Fitness Studios,Combine Training
2776,Swapnils Dance Studio,paid,dance,Wakad,pune,Transformation membership,Fitness Studios,Combine Training
6210,Crush Fitness,paid,dance,Greater Kailash 2,delhi,iFitness,Fitness Studios,Combine Training
6210,Crush Fitness,paid,dance,Greater Kailash 2,delhi,Mantan The Fitness Lounge - Pilates ,Fitness Studios,Combine Training
6210,Crush Fitness,paid,dance,Greater Kailash 2,delhi,Elemention Gym - Crush Club,Fitness Studios,Combine Training
6963,SetFit Gym,paid,gyms,Sinhagad Road,pune,Mix Group Classes,Fitness Studios,Combine Training
6210,Crush Fitness,paid,dance,Greater Kailash 2,delhi,Mantan The Fitness Lounge - Crush Combat ,Fitness Studios,Combine Training
6210,Crush Fitness,paid,dance,Greater Kailash 2,delhi,Mantan The Fitness Lounge - Club Cardio ,Fitness Studios,Combine Training
6210,Crush Fitness,paid,dance,Greater Kailash 2,delhi,Fitness Fusion ,Fitness Studios,Combine Training
6210,Crush Fitness,paid,dance,Greater Kailash 2,delhi,Ministry of Fitness,Fitness Studios,Combine Training
6989,Fit Box Studio,free,Fitness Studios,Kothrud,pune,Strength Training,Fitness Studios,Combine Training
6998,Alpha Fit Academy,free,Fitness Studios,NIBM,pune,Fitness Course Membership ,Fitness Studios,Combine Training
7001,BIO Fitness : Bring It On,cos,Fitness Studios,NIBM,pune,Combined Training ,Fitness Studios,Combine Training
1829,Transform Wellness and Fitness,paid,Fitness Studios,Kalyani Nagar,pune,Combine Training,Fitness Studios,Combine Training
7012,Her Fitness,paid,Fitness Studios,Rajouri Garden,delhi,Ultimate Fitness Class,Fitness Studios,Combine Training
7013,Her Fitness,paid,Fitness Studios,Vikaspuri,delhi,Studio Membership,Fitness Studios,Combine Training
3524,Ladies Fitness Center,free,yoga,Dadar,mumbai,Ladies Fitness Centre,Fitness Studios,Combine Training
7017,Crush Fitness at Metabolikx,paid,Fitness Studios,Janakpuri,delhi,Studio Membership with Unlimited Classes,Fitness Studios,Combine Training
7024,MAS Gym The Empire of Fitness,paid,gyms,Mira Road East,mumbai,Kickboxing,Fitness Studios,Combine Training
7032,Parindis Fitness Hub,paid,Fitness Studios,Ghatkopar East,mumbai,Combination Workout,Fitness Studios,Combine Training
2001,Flames School of Dance,free,dance,Senapati Bapat Road,pune,Gymnastics (Adults),Fitness Studios,Combine Training
7054,Level 6 Gym,paid,gyms,Chembur West,mumbai,Group X,Fitness Studios,Combine Training
5570,Invigorate Xercise Dance And Fitness Ghatla,paid,Fitness Studios,Chembur East,mumbai,Zumba at Muscle Talk,Fitness Studios,Combine Training
6681,Fitness 365,paid,gyms,Kothrud,pune,Gym Membership (Platinum),Fitness Studios,Combine Training
6681,Fitness 365,paid,gyms,Kothrud,pune,Gym Membership (Silver),Fitness Studios,Combine Training
721,Well n Trim,cos,Fitness Studios,Churchgate,mumbai,Combine Training,Fitness Studios,Combine Training
7153,Well n Trim,cos,Fitness Studios,Dadar,mumbai,Combine Training,Fitness Studios,Combine Training
4253,Infinity Fitness Studio,free,Fitness Studios,Banashankari,bangalore,Studio Membership,Fitness Studios,Combine Training
3784,Cadenza Dance And Music Academy,paid,dance,Whitefield,bangalore,Personal Fitness,Fitness Studios,Combine Training
7012,Her Fitness,paid,Fitness Studios,Rajouri Garden,delhi,Kick Boxing/Body Pump,Fitness Studios,Combine Training
5477,Studio Raas,free,dance,South Ex Part 1,delhi,Morning Fitness,Fitness Studios,Combine Training
1913,Silver Fitness Club,freespecial,Fitness Studios,Chinchwad,pune,Group Activity Membership ( Yoga + Zumba + Aerobics + Bollywood ),Fitness Studios,Combine Training
5275,Say Fitness,paid,Fitness Studios,Lajpat Nagar,delhi,Complete Fitness Package,Fitness Studios,Combine Training
7213,Ista Wellness and Fitness,freespecial,Fitness Studios,Sector 23,gurgaon,Studio Membership,Fitness Studios,Combine Training
5084,Paipa Pradeep Adwanis Institute For Performing Art,cos,dance,Lajpat Nagar,delhi,Studio Membership,Fitness Studios,Combine Training
5570,Invigorate Xercise Dance And Fitness Ghatla,paid,Fitness Studios,Chembur East,mumbai,Combine Training at Whizkids Ghatla,Fitness Studios,Combine Training
5681,Gold's Gym,paid,gyms,East Of Kailash,delhi,Stretch Fit,Fitness Studios,Combine Training
6939,Slimwell,paid,gyms,Mahim,mumbai,TAG (Ladies),Fitness Studios,Combine Training
5703,Evolve - Truth In Fitness,free,gyms,Safdurjung Enclave,delhi,Group Activities,Fitness Studios,Combine Training
7300,Yphoria,freespecial,Fitness Studios,Kalyani Nagar,pune,Fitness Package ( Yoga + Cross Functional ),Fitness Studios,Combine Training
7301,Yphoria Viman Nagar,paid,yoga,Viman Nagar,pune,Fitness Package (Yoga+Cross Functional),Fitness Studios,Combine Training
6548,Absolutions Fitness Company,freespecial,gyms,DLF Phase 4,gurgaon,Combine Training,Fitness Studios,Combine Training
6054,Funrobics,cos,Fitness Studios,Pimple Saudagar,pune,Studio Membership,Fitness Studios,Combine Training
7125,Dance Artz,cos,dance,GTB Nagar,delhi,Studio Membership,Fitness Studios,Combine Training
7149,Turnsteps Workout Studio,free,Fitness Studios,Rajouri Garden,delhi,Combine Training ,Fitness Studios,Combine Training
4088,D4U,paid,dance,Sarjapur Road,bangalore,Studio Membership,Fitness Studios,Combine Training
4902,The Revolution,freespecial,gyms,Dilshad Garden,delhi,Steam Bath,Fitness Studios,Combine Training
4902,The Revolution,freespecial,gyms,Dilshad Garden,delhi,Detoxification ,Fitness Studios,Combine Training
4902,The Revolution,freespecial,gyms,Dilshad Garden,delhi,Thermal Therapy,Fitness Studios,Combine Training
6882,The Hood,freespecial,Fitness Studios,Marathahalli,bangalore,Studio Membership,Fitness Studios,Combine Training
7295,REPS - A Personal Fitness Studio by Dinesh,freespecial,Fitness Studios,Gujranwala,delhi,Fitness Studio (Personal Training),Fitness Studios,Combine Training
7325,Group Ex,freespecial,Fitness Studios,Frazer Town,bangalore,Group Activities,Fitness Studios,Combine Training
4876,Turnsteps Workout Studio,cos,Fitness Studios,Vikaspuri,delhi,Combine Training,Fitness Studios,Combine Training
7330,SWEAT GROUP EX,paid,Fitness Studios,Sahakara Nagar,bangalore,Studio Membership,Fitness Studios,Combine Training
7336,Tribe Fitness,paid,Fitness Studios,Whitefield,bangalore,Club Membership,Fitness Studios,Combine Training
1825,Lifepro Fitness Club,freespecial,gyms,Pashan,pune,Group Activities ,Fitness Studios,Combine Training
2093,Just Knock 4 Dance Academy,paid,Fitness Studios,Pimple Saudagar,pune,Fitness Package,Fitness Studios,Combine Training
521,Body Basics,free,gyms,Borivali West,mumbai,Combine Training,Fitness Studios,Combine Training
7341,Mickey Mehtas 360 Wellness Temple,paid,Fitness Studios,Vile Parle West,mumbai,Combined Workout ,Fitness Studios,Combine Training
6894,Vivafit (Women Only),cos,Fitness Studios,DLF Phase 4,gurgaon,Studio Membership,Fitness Studios,Combine Training
2799,Fitness Empire,cos,gyms,Chinchwad,pune,Group Activities,Fitness Studios,Combine Training
3972,Hyper Monkey Fitness,paid,Fitness Studios,Koramangala,bangalore,Studio Membership,Fitness Studios,Combine Training
7350,Latino Rhythms Dance Academy,freespecial,Fitness Studios,Koramangala,bangalore,Studio Membership,Fitness Studios,Combine Training
1766,Tangerine Arts Studio,paid,Fitness Studios,Bandra West,mumbai,'Boot'ique membership by Urmi Kothari of Kinetic Living,Fitness Studios,Combine Training
7359,Vivafit (Women Only),cos,Fitness Studios,Greater Kailash 2,delhi,Studio Membership ,Fitness Studios,Combine Training
7359,Vivafit (Women Only),cos,Fitness Studios,Greater Kailash 2,delhi,Les Mills BodyVive,Fitness Studios,Combine Training
7359,Vivafit (Women Only),cos,Fitness Studios,Greater Kailash 2,delhi,Functional Training,Fitness Studios,Combine Training
6961,Versatile Fitness Club,freespecial,gyms,Kharadi,pune,Group Activity Membership,Fitness Studios,Combine Training
1677,The Soul Studio,paid,Fitness Studios,Lokhandwala,mumbai,Electric Cardio,Fitness Studios,Combine Training
1677,The Soul Studio,paid,Fitness Studios,Lokhandwala,mumbai,Story Telling and Listening Skills,Fitness Studios,Combine Training
1704,Reebok Fitness Studio,paid,Fitness Studios,Khar West,mumbai,Combine Training,Fitness Studios,Combine Training
6518,The Yoga Gallery,paid,yoga,Juhu,mumbai,Studio Membership,Fitness Studios,Combine Training
7375,Vivafit (Women Only),cos,Fitness Studios,Sector 45,gurgaon,Studio Membership,Fitness Studios,Combine Training
7314,Just Knock 4 Dance,paid,dance,Pimpri,pune,Fitness Package,Fitness Studios,Combine Training
1829,Transform Wellness and Fitness,paid,Fitness Studios,Kalyani Nagar,pune,Gym + Group Activities,Fitness Studios,Combine Training
2869,Functional Fitness Group,freespecial,Fitness Studios,Magarpatta,pune,Combine Training (Gymnastics, Calesthenic & parkour ) at Deccan,Fitness Studios,Combine Training
7376,DS Health and Wellness,free,gyms,Seawoods,mumbai,Combine Training - Only for  Ladies,Fitness Studios,Combine Training
1671,Waves Gym,paid,gyms,Lokhandwala,mumbai,Aero Pilates,Fitness Studios,Combine Training
1671,Waves Gym,paid,gyms,Lokhandwala,mumbai,Studio Cycling,Fitness Studios,Combine Training
1671,Waves Gym,paid,gyms,Lokhandwala,mumbai,Studio Pass,Fitness Studios,Combine Training
7319,Planet Health LifeStyle Fitness Studio,paid,gyms,Andheri East,mumbai,MMA/TRX,Fitness Studios,Combine Training
5081,The Pilates Studio at Lodhi,freespecial,pilates,Lodhi Road,delhi,Pilates and TRX by David,Fitness Studios,Combine Training
5081,The Pilates Studio at Lodhi,freespecial,pilates,Lodhi Road,delhi,Pilates and TRX by Sarfaraz,Fitness Studios,Combine Training
5081,The Pilates Studio at Lodhi,freespecial,pilates,Lodhi Road,delhi,Pilates and TRX by Uday,Fitness Studios,Combine Training
7319,Planet Health LifeStyle Fitness Studio,paid,gyms,Andheri East,mumbai,Studio Pass,Fitness Studios,Combine Training
1504,Naina Yoga House,paid,personal trainers,Andheri West,mumbai,Combine Training,Fitness Studios,Combine Training
5327,Samsaara Fitness Figure,paid,Fitness Studios,Pitampura,delhi,Studio Membership,Fitness Studios,Combine Training
7329,Dance with Pamela Alfaro,freespecial,dance,Kalyani Nagar,pune,Stretching (Adults),Fitness Studios,Combine Training
7329,Dance with Pamela Alfaro,freespecial,dance,Kalyani Nagar,pune,Stretching,Fitness Studios,Combine Training
7421,Sherwin Fitness Studio,free,Fitness Studios,Andheri East,mumbai,Combine Training(Zumba,Aerobics,Yoga,Pilates & Bootcamp),Fitness Studios,Combine Training
6988,Crush Fitness at iFitness,paid,gyms,Green Park,delhi,Gym membership + Unlimited classes,Fitness Studios,Combine Training
6991,Crush Fitness at Mantan,paid,Fitness Studios,Chattarpur,delhi,Gym membership + Unlimited Group Classes,Fitness Studios,Combine Training
6991,Crush Fitness at Mantan,paid,Fitness Studios,Chattarpur,delhi,Unlimited Group Classes,Fitness Studios,Combine Training
2852,Mickey Mehta 360° Wellness Temple Devidas Extension Road,free,Fitness Studios,Borivali West,mumbai,YO WORKOUT,Fitness Studios,Combine Training
6680,My Fitness Kapsule,paid,Fitness Studios,Dwarka,delhi,Fitness Workout,Fitness Studios,Combine Training
4915,Elite Fitness Gym And Spa,freespecial,gyms,Malviya Nagar,delhi,Group Activities,Fitness Studios,Combine Training
3209,Vivafit For Women,free,Fitness Studios,HSR Layout,bangalore,Studio Membership,Fitness Studios,Combine Training
6090,Hardcores,free,Fitness Studios,Mira Road East,mumbai,HardCrobics,Fitness Studios,Combine Training
5505,Lifestyle Swim and Gym,freespecial,gyms,Vasant Vihar,delhi,Fitness Studio,Fitness Studios,Combine Training
4209,Trihedron,paid,gyms,Padmanabhanagar,bangalore,Yoga+Aerobics+Dance,Fitness Studios,Combine Training
4041,GROUP EX FITNESS CLUB,paid,Fitness Studios,R.T. Nagar,bangalore,Suspension fit,Fitness Studios,Combine Training
4041,GROUP EX FITNESS CLUB,paid,Fitness Studios,R.T. Nagar,bangalore,Metabolic Fit,Fitness Studios,Combine Training
4041,GROUP EX FITNESS CLUB,paid,Fitness Studios,R.T. Nagar,bangalore,Kombat Fit,Fitness Studios,Combine Training
5421,ALS FITNESS CENTRE,free,gyms,Malviya Nagar,delhi,Fitness Studio,Fitness Studios,Combine Training
6561,Fine Fitness,free,gyms,Kandivali West,mumbai,Fitness Activity,Fitness Studios,Combine Training
6670,Sachin Dance Studio,paid,dance,Thane West,mumbai,Combine Training,Fitness Studios,Combine Training
5986,Cult The Workout Station,paid,Fitness Studios,Sarjapur Road,bangalore,Strength and Conditioning,Fitness Studios,Combine Training
5986,Cult The Workout Station,paid,Fitness Studios,Sarjapur Road,bangalore,Sports Conditioning,Fitness Studios,Combine Training
5986,Cult The Workout Station,paid,Fitness Studios,Sarjapur Road,bangalore,Power Stretching,Fitness Studios,Combine Training
5740,Transform Gym,freespecial,gyms,Rajouri Garden,delhi,Group Activities,Fitness Studios,Combine Training
5743,Gold's Gym,paid,gyms,Dwarka,delhi,Aerobics+Zumba,Fitness Studios,Combine Training
6165,Fitt Zzone,free,gyms,Lokhandwala,mumbai,Group-ex Training(Power Yoga, Kick Boxing, Zumba and Aerobics),Fitness Studios,Combine Training
5597,i-fitness,free,Fitness Studios,Green Park,delhi,Package,Fitness Studios,Combine Training
5641,One Dream Fitness,free,Fitness Studios,Mayur Vihar Phase 1,delhi,Fitness Studio ,Fitness Studios,Combine Training
5635,Oxide Gym,paid,gyms,Patparganj,delhi,Group Activities (Ladies),Fitness Studios,Combine Training
7492,AB yoga wellness and Fitness center,free,Fitness Studios,Dadar,mumbai,Combine Training,Fitness Studios,Combine Training
7526,Shilpa's Dance Academy,cos,aerobics,Pimpri,pune,Aerobics,Fitness Studios,Combine Training
7584,Anjul's The Lifestyle Club,paid,Fitness Studios,Thane West,mumbai,Combine Training - Unisex,Fitness Studios,Combine Training
7595,Jog and Twist,freespecial,Fitness Studios,Vikaspuri,delhi,Combine Training,Fitness Studios,Combine Training
6188,Vivafit Pune,paid,Fitness Studios,Camp,pune,Vivafit Classes (Only for Ladies),Fitness Studios,Combine Training
5327,Samsaara Fitness Figure,paid,Fitness Studios,Pitampura,delhi,Gymnastics,Fitness Studios,Combine Training
3382,Studio One Eighty Nine- By BreakBeat Dance Co.,paid,Fitness Studios,Tardeo,mumbai,Fitness Studio,Fitness Studios,Combine Training
2131,Zeus Fitness Zone,free,gyms,Karvenagar,pune,Club Membership,Fitness Studios,Combine Training
561,Rubiinus Fitness and Spa,paid,gyms,Kandivali West,mumbai,Group X Activities,Fitness Studios,Combine Training
2131,Zeus Fitness Zone,free,gyms,Karvenagar,pune,Weight Management (Weight Loss),Fitness Studios,Combine Training
2131,Zeus Fitness Zone,free,gyms,Karvenagar,pune,Weight Gain,Fitness Studios,Combine Training
7668,Moving Body,paid,Fitness Studios,Banashankari,bangalore,Express Workout,Fitness Studios,Combine Training
1969,Nj's Fitness Center,cos,gyms,Pimple Saudagar,pune,Combo Package(CPF Aerobics and Yoga),Fitness Studios,Combine Training
